"Region1","Region2","Location","Date","Followers"
"..","..","#goa","2020-10-18",511
"..","..","#gothenburg","2020-10-27",237
"..","..","#gothenburg","2020-12-07",244
"..","..","#gothenburg","2021-04-21",253
"..","..","#granada","2020-12-09",367
"..","..","#granada","2021-04-21",384
"..","..","#graz","2020-12-09",90
"..","..","#graz","2021-04-21",97
"..","..","#grenoble","2020-12-09",505
"..","..","#grenoble","2021-04-21",559
"..","..","#guadalajara","2020-12-08",3879
"..","..","#guadalajara","2021-04-21",3915
"..","..","#guadeloupe","2020-10-27",735
"..","..","#guadeloupe","2020-12-07",760
"..","..","#guadeloupe","2021-04-21",813
"..","..","#guangzhou","2020-10-28",293
"..","..","#guangzhou","2020-12-08",303
"..","..","#guangzhou","2021-04-21",324
"..","..","#guatemala city","2020-12-08",4
"..","..","#guatemala city","2021-04-21",5
"..","..","#hamburg","2020-10-17",1148
"..","..","#hamburg","2020-10-27",1153
"..","..","#hamburg","2020-12-07",1196
"..","..","#hamburg","2021-04-21",1294
"..","..","#hamburg","2021-07-14",1343
"..","..","#hangzhou","2020-10-28",110
"..","..","#hangzhou","2020-12-08",111
"..","..","#hangzhou","2021-04-21",126
"..","..","#hanoi","2020-10-28",824
"..","..","#hanoi","2020-12-08",833
"..","..","#hanoi","2021-04-21",874
"..","..","#hanover","2020-10-27",65
"..","..","#hanover","2020-12-07",66
"..","..","#hanover","2021-04-21",71
"..","..","#harare","2020-12-09",302
"..","..","#harare","2021-04-21",305
"..","..","#harbin","2020-10-28",7
"..","..","#harbin","2020-12-08",8
"..","..","#harbin","2021-04-21",9
"..","..","#havana","2020-12-08",98
"..","..","#havana","2021-04-21",101
"..","..","#hawaii","2020-12-06",547
"..","..","#hawaii","2021-04-21",591
"..","..","#hefei","2020-10-28",4
"..","..","#hefei","2020-12-08",4
"..","..","#hefei","2021-04-21",4
"..","..","#helsingborg","2020-10-14",264
"..","..","#helsinki","2020-10-17",567
"..","..","#helsinki","2020-10-27",568
"..","..","#helsinki","2020-12-07",581
"..","..","#helsinki","2021-04-21",610
"..","..","#ho chi minh city","2020-10-28",0
"..","..","#ho chi minh city","2020-12-08",460
"..","..","#ho chi minh city","2021-04-21",484
"..","..","#hong kong","2020-10-28",10357
"..","..","#hong kong","2020-12-08",10426
"..","..","#hong kong","2021-04-21",10644
"..","..","#hongkong","2020-10-12",10328
"..","..","#hongkong","2020-10-18",10343
"..","..","#honolulu","2020-12-07",70
"..","..","#honolulu","2021-04-21",75
"..","..","#houston","2020-10-18",9315
"..","..","#houston","2020-12-06",9333
"..","..","#houston","2021-04-21",9400
"..","..","#hyderabad","2020-10-14",17423
"..","..","#hyderabad","2020-10-28",17466
"..","..","#hyderabad","2020-10-28",17466
"..","..","#hyderabad","2020-12-08",17635
"..","..","#hyderabad","2021-04-21",18119
"..","..","#iaËôi","2020-10-27",6
"..","..","#iaËôi","2020-12-07",277
"..","..","#iaËôi","2021-04-21",282
"..","..","#idaho","2020-12-06",421
"..","..","#idaho","2021-04-21",439
"..","..","#illinois","2020-12-06",857
"..","..","#illinois","2021-04-21",894
"..","..","#incheon","2020-10-28",13
"..","..","#incheon","2020-12-08",14
"..","..","#incheon","2021-04-21",18
"..","..","#india","2020-10-12",67930852
"..","..","#india","2020-10-18",67927277
"..","..","#indiana","2020-12-06",529
