"","DF","lon","lat"
"125","Ballylinan, Laois, Ireland",-7.0420455,52.9435883
"126","Ballylongford, Kerry, Ireland",-9.4788097,52.5479992
"127","Ballymahon, Longford, Ireland",-7.7645964,53.5643632
"128","Ballymakeery, Cork, Ireland",-9.1454314,51.9363905
"129","Ballymore, Westmeath, Ireland",-7.6797464,53.4909131
"130","Ballymore Eustace, Kildare, Ireland",-6.6148809,53.1330099
"131","Ballymote, Sligo, Ireland",-8.5171827,54.0898288
"132","Ballymulcashel, Clare, Ireland",-8.7738842,52.77986
"133","Ballynacargy, Westmeath, Ireland",NA,NA
"134","Ballyoulster, Kildare, Ireland",-6.5151111,53.3403634
"135","Ballyporeen, Tipperary South, Ireland",-8.0992106,52.2701094
"136","Ballyragget, Kilkenny, Ireland",-7.3338244,52.7886714
"137","Ballyroan, Laois, Ireland",-7.3046676,52.9483991
"138","Ballyroe, Kildare, Ireland",-6.9437523,52.956216
"139","Ballysax, Kildare, Ireland",-6.81287,53.12651
"140","Ballyshannon, Donegal, Ireland",-8.1920416,54.5029882
"141","Ballysimon, Wexford, Ireland",-6.4872215,52.5232771
"142","Ballyvaughan, Clare, Ireland",-9.1494233,53.1155333
"143","Balreask, Meath, Ireland",-6.6840273,53.5775781
"144","Baltimore, Cork, Ireland",-9.3661093,51.4843274
"145","Baltinglass, Wicklow, Ireland",-6.71098,52.9407807
"146","Baltray, Louth, Ireland",-6.2704904,53.7371107
"147","Banagher, Offaly, Ireland",-7.9861049,53.1901112
"148","Bandon, Cork, Ireland",-8.7253133,51.7472382
"149","Bangor Erris, Mayo, Ireland",NA,NA
"150","Bansha, Tipperary South, Ireland",-8.0642959,52.4482369
"151","Banteer, Cork, Ireland",-8.8935092,52.1294606
"152","Bantry, Cork, Ireland",-9.4525763,51.6800803
"153","Barntown, Wexford, Ireland",NA,NA
"154","Beaufort, Kerry, Ireland",NA,NA
"155","Bellanode, Monaghan, Ireland",-7.0364418,54.266922
"156","Belmont, Offaly, Ireland",NA,NA
"157","Belmullet, Mayo, Ireland",-9.9876028,54.2238996
"158","Belturbet, Cavan, Ireland",NA,NA
"159","Bennettsbridge, Kilkenny, Ireland",-7.1842575,52.5916575
"160","Birr, Offaly, Ireland",-7.9096882,53.0980052
"161","Blacklion, Cavan, Ireland",NA,NA
"162","Blarney, Cork, Ireland",-8.5612438,51.9338275
"163","Blessington, Wicklow, Ireland",-6.5340687,53.1696579
"164","Boherbue, Cork, Ireland",-9.0684828,52.1582386
"165","Borris, Carlow, Ireland",-6.9230824,52.5998053
"166","Borris-in-Ossory, Laois, Ireland",NA,NA
"167","Borrisokane, Ireland",-8.1273257,52.9963736
"168","Borrisoleigh, Tipperary North, Ireland",NA,NA
"169","Boyle, Roscommon, Ireland",-8.2972757,53.9722082
"170","Bracknagh, Offaly, Ireland",-7.0981836,53.209205
"171","Bray, Wicklow, Ireland",-6.1110741,53.200903
"172","Bridebridge, Cork, Ireland",NA,NA
"173","Bridge End, Donegal, Ireland",-7.3821884,55.0422391
"174","Bridgetown, Wexford, Ireland",-6.549064,52.2302422
"175","Brinlack, Donegal, Ireland",NA,NA
"176","Brittas, South Dublin, Ireland",-6.4289304,53.2121182
"177","Broadford, Limerick, Ireland",NA,NA
"178","Brosna, Kerry, Ireland",-9.2707098,52.3127106
"179","Brownstown, Kildare, Ireland",-6.94318,53.27041
"180","Bruff, Limerick, Ireland",-8.5470439,52.4755947
"181","Bruree, Limerick, Ireland",NA,NA
"182","Bunbeg-Derrybeg, Donegal, Ireland",-8.2287039,55.0498014
"183","Bunclody-Carrickduff, Carlow and Wexford, Ireland",-6.652193,52.6550857
"184","Buncrana Town, Donegal, Ireland",-7.4560128,55.1365797
"185","Bundoran Town, Donegal, Ireland",NA,NA
"186","Burnfoot, Donegal, Ireland",-7.4049447,55.0583056
"187","Burtonport, Donegal, Ireland",-8.4326581,54.9845286
"188","Butlersbridge, Cavan, Ireland",-7.3769588,54.0452119
"189","Buttevant, Cork, Ireland",-8.6701247,52.2321335
"190","Abbeydorney, Kerry, Ireland",NA,NA
"191","Abbeyside, Waterford, Ireland",-7.6168652,52.0931797
"192","Ballylinan, Laois, Ireland",-7.0420455,52.9435883
"193","Ballylongford, Kerry, Ireland",NA,NA
"194","Ballymahon, Longford, Ireland",NA,NA
"195","Cabragh, Monaghan, Ireland",NA,NA
